content,datetime
"For me this kind of feature to have additional researcher to this game is greatly helpful to us players to know whats the story behind of this historical game.
Thanks 😊😊😊",2020-10-29 12:17:30
"xxxxxxxxxx
Norheim 1

Super like! Kindly add more gems generating in the game. And pls. Make all immortals available in game, i dont support cash purchases.",2020-10-29 12:55:17
"PLEASE for the love of Ruins, add more higher lvls and idk, make it so that we can see the ruins when we zoom out the map like when we see the whole of Norheim, we should be able to see pictures of the ruins! thnks!

Also, why not make the ruin explorations a monthly reset? it should be fine that way!",2020-10-29 11:38:09
"ID : xxxxxxxxxx
Norheim S-2
Keep sailing for 3 hours , if the ship doesn't come back then consider it crashed ...
Just some recommendations for the dev :
Why dont put a kraken into the sea ? And everyone can join sailing to defeat it. & Claim some treasures 😉",2020-10-27 14:02:43
Sailing 12hours is a good idea it will gives a lot of rewards,2020-10-27 12:56:56
I THINK SAILING 8HRS A DAY IS STILL GOOD FOR ME SO PLSS ADD 8HRS STILL. AND IM GOING TO SAIL TO GLOBAL Infinity Kingdom,2020-10-27 13:17:21
For me this update or feature in sailing is really good because for me as an employee it makes my gaming time be more flexible thanks 😊😊😊,2020-10-28 10:31:49
"For me, that would probably depend on the set of rewards you get for each type of sail. Of course, I will also consider my schedule for the day. If I'm not too busy, I'd probably go for 3hrs/6hrs. It would also be great if you don't remove the 8hrs. Each of us has a preference and the more options mean you can cater different preferences at the same time. 💜😏",2020-10-27 14:23:55
ID : xxxxxxxxxx. Sailing 24/7,2020-10-27 10:49:36
I PREFER GLOBAL!!!!!!!,2020-10-29 13:33:13
I really liked the idea.,2020-10-29 21:00:45
That would be great. The resources chest helps a lot. Hope to implement this soon.,2020-10-29 11:49:44
"I have suddenly realized that these strange rumors are probably connected to the little people that ran away that year i have put everything into researching the world heart, and they dont cross my mind for hundred of years .",2020-10-29 11:35:17
"This should been done earlier. Do you know how many hours I spent completing the monument? I thought there was gonna be a reward at the end if you complete all shards but sadly, nothing happened 😩 I was so disappointed 😭 But thanks for adding explorer! That means saving time on exploration

 It should be three! 😅",2020-10-29 13:48:25
Go nio nalang po =),2020-10-29 20:11:08
"xxxxxxxxxx
I had a Dream!! You did it! Very Nice thanks a lot",2020-10-29 16:18:20
This event is over and all gifts have been sent out! Thank you for showing your approval and for providing us with your suggestions! There will be a galaxy of events in the following days as the next update is on its way! Please stay tuned! 🤗🤗,2020-10-29 11:05:35
"Great idea 💡! This will clarify among the alliance's programs! In addition, by being able to plan actions in advance, even the least active players can participate in the long-term programming!
Nice job IK! Keep it up 💪",2020-10-28 16:07:15
No we don't need a server 5😭,2020-10-28 11:14:12
"This kind of features would be great help to all alliances to make the members of all alliances to be more active, participative and productive.
Thanks 😁",2020-10-28 10:37:27
"The calendar should have like the ability for the members to comment if they can come or not because sometimes, messaging them one by one is a hassle! I like the idea tho, question is that will the officers and leaders see the whole month's events that will come like for the month of xx? I am looking forward to a feature where the members can comment/ write something on that date so that the leaders of the alliances can see it!",2020-10-28 21:33:44
"Then a Spy in the alliance goes there and passes the entire schedule to the enemy 👏🏻👏🏻👏🏻 what a stupid update, because instead of inventing tools that are not useful, you don't focus on launching the game for general play and not just a plot ?",2020-10-28 14:54:25
"xxxxxxxxxx 
Another good feature to have",2020-11-01 19:50:30
Global when,2020-11-03 14:42:21
When link download ready?,2020-11-03 19:50:47
I love this game more every day ♡,2020-11-03 10:33:23
v.0.13.0.93776-20201029-GTA-BETA adding this? or another one?,2020-11-03 14:59:46
This event is over and all gifts have been sent out! Thank you for participating!  🤗🤗,2020-11-02 10:50:38
"xxxxxxxxxx

Nice to have the option to change, but in my opinion it will jill a faction and only 2 will strive but still nice addition real good features and update to the game you did",2020-11-01 20:51:45
"For me this would be a good feature of this game but I have given a chance to change my faction? Maybe for now I'm gonna stick still to the yvdia because blue is my favorite color 😊
Thanks 😊👍👍",2020-11-01 23:37:27
"ID xxxxxxxxxx

It will be interesting to see if people change sides! I have a dream, to bring together all the Italians of server 4 🤩🤩🤩",2020-11-01 15:31:42
That is good decision for your update...,2020-11-01 14:18:50
I wish that the feature of faction change would be free for everyone and it should have a cooldown of idk a week before you can change factions again. It would be nice to change faction fast but thats too op. That's just my opinion tho.,2020-11-01 14:07:28
"ID : xxxxxxxxxx
S-2
This function will be very useful, especially for the leader & officers to organize clan's activities",2020-10-28 23:39:28
"xxxxxxxxxx
Server 1

I dont understand why we need to add server",2020-10-28 22:46:59
RELEASE GLOBAL NOT SERVER 5!!!!!!! AND MAKE MORE ADVERTISEMENT AND COMMERCIAL,2020-10-28 15:16:47
"Cool! Would definitely love and dig the reminders! Reminders are totally important especially to those busy peeps. 

Just a question and suggestion: Do you get game notif for the reminder? Or will it work like alliance email? Better to make it both. Also, privilege to set up calendar and reminders should be for both leader and officers! 💛",2020-10-28 15:20:30
"ID : xxxxxxxxxx
Expecting server5 😂😂🤣🤣",2020-10-28 10:28:09
I oppose this! why do you encourage betrayal? 😩😂 I'll stick with my team until the ends of Norheim 💛,2020-11-01 14:02:09
"Having a bad feeling about this.
The server will die fast.",2020-11-01 18:47:36
Sorry to tell you... Fix the bug in chat box!!!,2020-11-03 20:37:39
"Good decision but one per week
ID : xxxxxxxxxx",2020-11-02 13:31:32
Will you open a new server soon ???,2020-11-02 01:26:34
"xxxxxxxxxx 
A good feature to have",2020-11-01 19:47:56
Getting better,2020-11-02 12:23:57
Thanks for that feature ik like real life situation we have choices to make. If we are not happy with your old team its better to find where you belong. Go find real people that meets your perspective in life. Then you will find joy and peace. Finding better team and create a good relationship is what i want more in this game. A friendly game. Thanks and God bless to ik world. Mabuhay,2020-11-01 15:21:04
The event is over and the candies have been sent to your mail. Enjoy and have a nice day!😌😌,2020-11-02 10:47:35
"ID xxxxxxxxxx

Halloween? For me it's just a little scarier carnival party! The important thing is to spend it with friends!!",2020-10-31 14:38:09
"We usually spend the evening answering the door to the fun loving ""trick or treater's"", handing out treat's and compliments At 8pm watch the fantastic fire work's.  Enjoy the Boo's with "" who's?"" . Happy Halloween🙃
ID xxxxxxxxxx",2020-10-31 13:01:56
"As a Filipino we celebrate the holloween with our families who are already passed away thanks...
Happy Halloween to you all guys 🙂🙂🙂",2020-11-01 23:35:22
ID : xxxxxxxxxx. Playing scary games =),2020-10-31 12:05:38
Every halloween i would send scary pics to the people that i know who is easily scared by a picturee 😂😂😂 they would swear to kill me and they also curse me also 😂😂😂,2020-10-31 15:27:54
"Halloween! The season when I got TRICKED by someone I TREATED right 💔 😂

Kidding aside, me and my fam would usually go downtown and watch the halloween parade ever since I was a kid to celebrate 💛",2020-10-31 13:54:23
"what ever halloween or Christmas my daily routine is to watching anime, read manga and eat food 😂😂😂😂

I'd: xxxxxxxxxx
Prince Dastan",2020-10-31 13:33:46
"We usually go to our grandparents grave on halloween, asian stuff but we do have halloween parties on graveyards in our Asian country!",2020-10-31 21:09:15
Halloween my favorite season of the year that must be because it's so near to my birthday but I ussualy do a birthday party myself on it and the I go to my school Halloween party that's how I spend it but today let's what it happens🎃😂,2020-10-31 19:43:04
"dinner with the whole family outdoors, while the younger ones go oustide to play and beg for treats",2020-10-31 12:34:16
I've been playing for a short time and I don't get that event,2020-10-31 17:52:29
I ENCOURAGE EVERYONE TO LIKE AND SHARE THIS POST SO THAT PEOPLE WHO PARTICIPATED WILL GET DOUBLE THE PARTICIPATION REWARD THANK YOU 😁😁,2020-10-31 15:30:18
Doing trick or treat. 😅,2020-10-31 20:25:23
Play and watch horror movies!,2020-10-31 13:30:25
"Getting better
Can i want more rewards
LOL🙃🙃🙃🙃🙃",2020-11-02 12:25:22
"Hmm when i was a rlly small i liked the Halloween but now to be honest not so much , i just put on a costume if i go out but now with this Corona thingy won't be possible..so just working and relaxing another day for me, sorry😅😅✌",2020-10-31 17:32:07
In My city we offered the sweets to all the kids and had lots of fun with them. In the late evening we finish off with the move Halloween 😁,2020-10-31 15:33:19
watching horror movies with family.,2020-10-31 12:59:31
"xxxxxxxxxx 
Family together dressing up and sharing sweets",2020-11-01 19:49:31
"Scary party with family and friends 
ID : xxxxxxxxxx",2020-10-31 13:14:17
I hang out to go to a bar club with friends and school party,2020-11-01 05:15:59
This event is over and all gifts have been sent out! Daisy is surprised by the stories told showing your imagination. Thank you for participating! There will be a galaxy of events in the following days as the next update is on its way! Please stay tuned! 🤗🤗,2020-10-26 11:24:42
"For me the picture tells a story about the strange round thing (egg) as we can see the immortals I that picture is all water type except for boudicca. 
As we see Attila the gun was so focused on that thing, Tomoe Gozen was treated that thing in a funny way while Helen of Troy was so little scared of that thing.
Yushitsune and Boudicca was observe the thing on what's going on while Brynhild having a strange feeling on that thing.
And finally Merlin do some magic on that thing.
Maybe it is an illustration on that strange round thing was going to metamorph into something.
And it would be a dragon coz that strange thing is a dragon egg.
And that dragon would be Glywyndr the water dragon as almost of immortals are water type 😁😁😁",2020-10-23 17:39:01
"It is a story about the dragon Glyndwr.

As shown in the picture above the Glyndwr egg is about to hatch by the use of Merlin's super natural abilities and magical power.

Boudicca help water immortals to find the egg in the wilderness that is why she is in the picture above. 

Everyone is so excited to harness the power of Glyndwr and to witness the breath taking scene except Brynhild. She senses that something is wrong.

After the ancient dragon Glyndwr hatched. 
It explodes its power to a great mass of land that covers the northern part of Norheim which is now called as ""Frozen Wastes"".",2020-10-23 14:25:59
"Norheim004
xxxxxxxxxx
It is the full moon and all the powerful generals of the kingdom unite to summon the most powerful of the immortals ever known. He will be invincible and will kill gnomes thousands of them without taking a single loss for a day each month. Then they will barbecue the whole kingdom of gnome meat without missing a few beers and wine. It will be a historic day a month for the reign.",2020-10-23 17:28:45
"For those starting now, the game is good.
But for those who have had an account since the game's launch and because of a simple failure, the game is no longer worth it.
You lose the game about your mistake, but you lose everything you had due to the creator's fault there, complicated. Sad to know that money takes a person's mind away and forgets to be understanding.",2020-10-23 15:51:43
"Pure Imagination:
The small circular object there is a small space or a small world.This is created by the Great Mage Merlin and he gathers the Immortals to show what he's done or what is his greatest creation. Here lies a planet called Earth where living beings called human lived. Currently now there is a pandemic going on around earth because of this many people lost their loved ones and are isolated until now. So humans that are isolated doesn't have anything to do so some of them would actually play games instead. Some of them plays Infinity Kingdom where the dominate other faction. They are now currently waiting for the GLOBAL RELEASE of Infinity Kingdom. Back to Merlin and the others. They are just there having fun while watching these humans, especially those who play games like @INFINITY KINGDOM and waiting for GLOBAL RELEASE.",2020-10-23 18:28:28
Global ?,2020-10-24 00:31:53
I think they talking about global server 😂. And they take about how merlyn so strong 😂,2020-10-23 11:51:42
They are talking how to make ice cream 😄😄😄,2020-10-23 17:34:31
"I think thats the dragon egg of baby water dragon they are fascinated by the magic power it releases even as a baby srag they sure are mystical creatures in norheim!

xxxxxxxxxx

Norheim 4",2020-10-25 18:41:32
"PS: This is just a conspiracy theory!

Each of the blue immortals are some of the staff of Infinity Kingdom watching and fixing what needs to get fixed for the game which we are playing right now. Boudicca however is one of the funny/weird/that one guy that's just silly who is a part of the Infinity Kingdom team of staff just chilling from one side of the corner being a funny/weird/silly guy/gal he/she is!

Get mind blowned! xs",2020-10-24 14:04:32
"xxxxxxxxxx
Norheim 1

They are talking about merging all server and open the global to make the game more challenging!",2020-10-25 23:22:46
"They're debating about whom they gonna vote,
Biden or Trump ...... ???
ID : xxxxxxxxxx
Norheim S-2",2020-10-23 17:28:24
"Good evening, gentlemen, administrators!

Answer:
Initially they were gathered as companions to enjoy a good time, have a good time and tell their experiences against some heroes until Tomoe Gozen makes a joke in a mocking tone challenging Merlin, at first this was not going to more but Attila the Hun continued the game doing anger Merlin; Hippolyta and Minamoto are intrigued by how all this will end while Brunhilda will go on the defensive since she is affected by Merlin's powerful magic, Attila excited by Merlin's demonstration just waits for this to be the first step to a not so friendly combat , Tomoe for his part laughs at Merlin's easy temperament, finally Helena as well as Hippolyta and Minamoto joins to see who will be the winner.",2020-10-23 15:33:53
"This is us (with friends I met in the game). Despite the differences in race, accent, language, personality and whatnot, this is us gathering around and hanging out. This is us, late at night, telling jokes, doing silly things and reminiscing. 💜 

P.S. Can I just say that this would be freakin' surreal if it happens irl. 😅",2020-10-23 18:47:31
Imagine play store 😁,2020-10-23 19:07:56
they just discover new sanitizer that both clean your hand and kill covid 19 😂😂😂😂😂,2020-10-23 12:03:30
"Able Fable was a miserable old man, who was always worried that someone would break into his house and steal all his money. Each night before he would go to sleep, he would lock his wallet up in a safe located near his bed so that if anyone were to try to rob him they would have to wake him up to do it. Unfortunately, on the night that Able died he had only placed the wallet on the table near the safe without locking it up. Before his death, Able said to his family and friends that none of them were to touch his home or his money and he said that anyone who came near his safe and wallet would be greeted by his ghost and be scared away. Following Able's death the family decided that the money in the Fable house was not doing any good if not used, so they went into the home to get it.
Able's oldest son decided to make the first attempt. He opened the door and went in, he saw Able's wallet on the table and reached for it. Immediately he heard a voice say:
""I am the ghost of Able Fable, put the money back on the table!""
The voice scared the son so much that he ran from the room and out the door, screaming: ""I heard the voice of a ghost!""
The oldest daughter in disbelief decided she would make her way into Able's room. She entered and reached for the wallet.
She then heard the voice say: ""I am the ghost of Able Fable, put the money back on the table!""
The daughter was so scared that she dropped the wallet and ran from the room screaming: ""I heard the voice of a ghost!""
The youngest son decided to make his attempt at getting the money. When he entered the room and reached for the wallet he also heard the voice say: ""I am the ghost of Able Fable, put the money back on the table!""
The youngest son decided that he was not easily scared and said back: ""Well, I am the ghost of Davey Crockett and the money is going to stay in my pocket!""

The youngest son took all the money for his own and the ghost of Able Fable was never heard from again!",2020-10-24 02:17:10
This event is over and all gifts have been sent out! Thank you for participating! 🤗🤗,2020-11-03 11:19:41
"Just watching the great action in the Arena, I'm eager to see some great immortal action shots. I'm sure they will be incredibly great. 
ID xxxxxxxxxx",2020-11-02 11:43:04
"ID xxxxxxxxxx

Nice! I'll finally be able to see Harald launching his Viking ship at his opponents  🤣🤣",2020-11-02 15:31:16
"As always look foward for new and cool content , waiting for all the good stuff to come, keep up the good work, and let s build a great game with our feedback and your implementation, thx!!",2020-11-02 19:38:44
Cant find Merlin in the market 👎,2020-11-05 23:46:17
"I have seen the immortal gallery it needs some fixing like Rare shows rar, elite shows elit. But good stuff, I like the idea and it makes the gallery more fun to see.",2020-11-02 11:30:37
"xxxxxxxxxx
Norheim 1

Bring in some old immortals!",2020-11-03 07:16:42
Nice! Looking forward to seeing the awesome graphics 💛,2020-11-02 13:18:16
I think this is a great opportunity to make the game more unique and the immortals too with their special abilities.,2020-11-02 17:16:38
"I would love a server merge and more soul purchase and creation time offers. Greetings, keep up the good work, the game is very fun
xxxxxxxxxx",2020-11-03 04:39:24
"Great new content in the game, let's bring more !  Id ::xxxxxxxxxx",2020-11-02 15:06:19
Muxos archery heroes,2020-11-02 17:39:28
"this would be cool

id xxxxxxxxxx",2020-11-02 11:48:53
"It's always nice to see the pros and cons of each immortals, keep up the good work",2020-11-02 18:59:14
Wow its amazing and fun. And its better if you add slow motion on action shots. Tnx,2020-11-02 12:50:27
"The event is over and all gifts have been sent out. As many friends share their stories with us unreservedly, we've raised the number of super winners to 7! Here is the list of super winners:
Fernando Martín Lopez
Carnegie Andrew
Kenneth Ace
Kathy Kath
Pedro Diosnel
Caoimhe Andrea
Howell Ian Seth Apostol
Congratulations!
Thanks again for your participation!🤗🤗",2020-10-21 11:08:24
"To be honest, I only started the game on server 4, my first account was among Ydvia, unfortunately after a few days the alliance to which I joined expired, although I had only a few days behind me, I decided to change the website to Vitas, here I also managed to find my compatriots, but after  week and too little willingness to fight my companions, I decided to leave my brothers and sisters and try my hand at an international alliance, which turned out to be successful, working for the common good, I managed to become an officer and make many new and amazing friendships😍",2020-10-20 06:06:01
"I'm a blue kingdom my first friend in this is sir blank, sir blank create an alliance then we start to get it on this game then finally we are attacked by the alliance of AQUA our first enemy then we lost. After that war our leader blank decided to join the alliance of AQUA. Now I'm currently a member of the (AQUA) alpha Omega gods. From enemy to friends. 😊😊😊",2020-10-20 08:19:47
Google play plis,2020-10-20 01:29:06
"I played this game since s1, then s2, s3 even tried to play test server 1 and 2 and now s4, and still waiting patiently for the global release.

I have few enemies because I'm a pacifist type of player. Since i hate war, I build friendship from different servers and kingdoms. Majority of them are my brothers/sisters at arms. We learned from each other. From best immortal lineup, Composition of Skills from Tower of Knowledge, Techniques and Strategies on gnomes, siege and bosses. Even arena counter.

But for me, the most friend that you can always have on the game is fun and experience.

The best enemies for me are bugs and glitches.
P.S. But im still passionate to play and to continue supporting the game. ❤️",2020-10-19 17:33:52
I have a friend named ZANAIAH who used to be our leader she had enough sadly and deleted the game but I started to talk to more people now like Area51 and Kill the mod and our new leader mcflurry,2020-10-19 14:38:29
Game is not working im stuck on the main menu,2020-11-06 03:34:26
Why doesn't have Merlin in the market?,2020-11-05 14:48:05
Add more server,2020-11-05 17:20:25
Sadd this is only for old players,2020-10-19 11:18:57
this means war!! hahahahaha,2020-10-19 23:23:36
"I really don't want to participate in any tournaments ... for now.
Among my friends I am the only one who continues to play Infiniti Kingdom because most of them are satisfied with Rise Of Kingdom but I will continue with the game until the end ...

Enemies are all some @ #### seriously that there are many people who invest millions and then destroy you.",2020-10-19 10:58:24
"ive been playing the game since s1. there i have formed friendships with my alliance who until now i am still playing with. from s2 i braught my friiends to s3. here we have formed alliances with others which gave me the confidence to lead my alliance and befriend all even though they were my enemies. finally s4 opend and we all moved to this server and bested all other alliances.

waiting for global where all of us will finally domonate in.",2020-10-19 15:20:45
"well i have many friends and foes jumping to server to another but i have partner in crime at server1 marupok as my enemy, jump to s2 as allies megatron and now jump to s4 although we have different kingdom now were still good friends and making more friends.. dont be confused he just use different names defending on his mood 😂
Navigate signing out

lets go global
norheim 004
server id xxxxxxxxxx",2020-10-19 14:56:03
Everything was fine .....need improvements...as well thanks for the concern.....I'm enjoying,2020-10-19 14:37:16
Lacking in active players only two or three of the ~45 people participate in our guild and we've no one else to invite regularly makes us easy picking .,2020-10-20 00:07:23
Share this guys so everyone can win! 🥰,2020-10-19 16:59:56
"I have enemy in all kingdom i always attacked all the castle every time  im near to them 
Norheim 0002",2020-10-19 22:58:42
"Hello, one of my remarkable friends who I see as a brother is IGN: warlock. One of the first guy who messaged me in game. He and I taught each other some strategies that I still remember way before I started playing IK. S4 was my first server, got into the game because the phone of my cousin has it and i tried it and it was fun. RN, I am safe at TG with our very helpful leader Mcflurry Topasio Loo. Very cool guy and understanding. I hope game goes global soon. Special Mention to: LGDR. I still havent forgotten when you guys attacked us when our leader went AWOL. kkk xdd",2020-10-19 22:53:42
I'm IDxxxxxxxxxx,2020-10-19 14:39:47
"FamouZ! We werent really enemies but good friends even if we belong in different factions. Our friendship started when their ally wanted to take our city and he came to defend the intruder's R6 when we attacked him. FamouZ was way ahead in power at the time so he is killing me, i had no choice but to PM the guy and talk reason 🤣 and he did respond and demanded I tell him the story when he heard that their ally is at fault he moved and thats when i proved the guy is a good player very reasonable and true to his words! Our friendship is one of the best even if we belong in different factions, I miss hin already hes been offline for 3days now We will always remember you brother! RIP FamouZ(just kidding he may be busy rn) 😆

xxxxxxxxxx
Server 4",2020-10-19 16:57:55
"There was a player on the blue side who was constantly attacking my guild but he and I didn’t try to attack us because he had the power of similar troops, he sent me a message to attack him and I said I didn’t beat him, the conversation continued and I started to give tips on what to do with the money spent and he became my friend.",2020-10-19 22:02:55
"Hello Sir i join from clan to clan made friends others gave up and quit/inactive cause they were attack many times others try to recover and get revenge and until i joined a good clan to grow until now, the arena now is crazy though need to get stronger the higher you go up the more powerful opponent pop up 😅",2020-10-20 11:07:32
"I started playing for a friend that I met in the hospital while we were hospitalized for the covid 19 virus, my friend really enjoyed the game and I was encouraged to play. Unfortunately he passed away within 10 days. And I made up my mind not to stop playing for him. And I have a daughter with cerebral palsy who is distracting to see when she sees the soldiers attack in the arena she laughs a lot and a smile from her is a huge joy. Besides, it is a fun game although a bit expensive. A huge greeting
Id xxxxxxxxxx
Norheim004
Greetings to all",2020-10-19 15:35:46
"New game, new set of friends. Now, we even follow each other's social media accounts. I love how this game provides a great platform not only for sharing game strats but sharing each other's perspectives on what the whole world is currently facing - COVID. Yes, you read that right. Aside from the dirty little jokes and teases, we get to discuss pandemic and with people around the world at that. This is also a great way to relieve stress from the real world. Thank you for providing us such a platform. 💜",2020-10-20 21:13:36
Hi I'm Backless I'm a red player when I started playing I created an alience called royalty due to the inactivity we merged with log horizon but we were still too weak so we went to French warriors but it wasn't still enough so now I'm in TG,2020-10-19 16:48:59
I start to play with tg after we merge and i can day i have a good experience,2020-10-19 14:54:02
I like this play,2020-10-19 14:44:57
Very Wholesome : D,2020-10-25 13:20:50
Hi kill/Kathy,2020-10-25 14:52:19
Now I understand why you guys told everyone to shield up lol😂,2020-10-26 06:48:41
THAT'S RIGHT BOYS!! GW ALLIANCE HAS A LOT GIRLS SO COME AND CHANGE YOUR FACTION AND JOIN US 😂😂😂,2020-10-25 13:23:46
Yes I am coz in arena healers are really needed 😊😊😊,2020-11-09 17:26:10
When is global launch?,2020-11-10 04:08:23
When time we can play in ios?,2020-11-09 18:51:26
a little too high a cost this early on in my opinion 😄,2020-11-09 17:43:29
The only thing I didnt get from those many free draws was a legendary 😢,2020-11-11 02:26:03
Why I can't play anymore???,2020-11-03 18:50:31
"The event is over and all gifts have been sent out. As this post has gained 8 SHARES, we have raised the number of super winners to 7! Here is the list of super winners: 
Pedro Diosnel
Kenneth Ace
Kathy Kath
Alex Nunu
Carnegie Andrew
Uğurcan Moroğlu
현미겔
Congratulations!
Thanks again for your participation!🤗🤗",2020-10-19 11:35:10
"Merlin is a sorcerer, the last Dragon Lord, and King Arthur's best friend, advisor, and mentor.",2020-10-18 06:08:13
